frame,per_percent,ssim,error_pixels,total_pixels
0,0.53024292,0.98898316,5560,1048576
1,0.55818558,0.98856902,5853,1048576
2,0.58641434,0.98821230,6149,1048576
3,0.60777664,0.98832355,6373,1048576
4,0.60977936,0.98799448,6394,1048576
5,0.67901611,0.98749306,7120,1048576
6,0.68874359,0.98730248,7222,1048576
7,0.47473907,0.99072649,4978,1048576
8,0.48093796,0.99034058,5043,1048576
9,0.51555634,0.98995773,5406,1048576
10,0.46224594,0.99092991,4847,1048576
11,0.52490234,0.98948181,5504,1048576
12,0.55179596,0.98934495,5786,1048576
13,0.44555664,0.99046164,4672,1048576
14,0.47664642,0.98996386,4998,1048576
15,0.49953461,0.98961642,5238,1048576
16,0.48265457,0.98952936,5061,1048576
17,0.46730042,0.98989047,4900,1048576
18,0.53586960,0.98925044,5619,1048576
19,0.37317276,0.99154648,3913,1048576
20,0.41179657,0.99063034,4318,1048576
21,0.39892197,0.99094998,4183,1048576
22,0.40960312,0.99075280,4295,1048576
23,0.39358139,0.99129284,4127,1048576
24,0.43573380,0.99057502,4569,1048576
25,0.50992966,0.98858855,5347,1048576
26,0.53110123,0.98850496,5569,1048576
27,0.55894852,0.98778278,5861,1048576
28,0.53462982,0.98756000,5606,1048576
29,0.51794052,0.98839444,5431,1048576
30,0.57220459,0.98746728,6000,1048576
31,0.52289963,0.98688661,5483,1048576
32,0.53987503,0.98802733,5661,1048576
33,0.55046082,0.98806353,5772,1048576
34,0.58088303,0.98737555,6091,1048576
35,0.53682327,0.98800084,5629,1048576
36,0.53424835,0.98839204,5602,1048576
37,0.53262711,0.98857657,5585,1048576
38,0.56552887,0.98790161,5930,1048576
39,0.55799484,0.98815033,5851,1048576
40,0.50258636,0.98811526,5270,1048576
41,0.50525665,0.98817410,5298,1048576
42,0.53205490,0.98796519,5579,1048576
43,0.50344467,0.98809667,5279,1048576
44,0.49047470,0.98833129,5143,1048576
45,0.49285889,0.98857255,5168,1048576
46,0.52309036,0.98866094,5485,1048576
47,0.45118332,0.98946553,4731,1048576
48,0.43182373,0.99025067,4528,1048576
49,0.43373108,0.99030640,4548,1048576
50,0.45566559,0.99058615,4778,1048576
51,0.41980743,0.99045819,4402,1048576
52,0.41608810,0.99074402,4363,1048576
53,0.41971207,0.99079188,4401,1048576
54,0.42829514,0.99121053,4491,1048576
55,0.42734146,0.99104899,4481,1048576
56,0.31070709,0.99440484,3258,1048576
57,0.31833649,0.99430467,3338,1048576
58,0.35657883,0.99403184,3739,1048576
59,0.31557083,0.99452307,3309,1048576
60,0.30612946,0.99479664,3210,1048576
61,0.29106140,0.99512119,3052,1048576
62,0.35743713,0.99454053,3748,1048576
63,0.29716492,0.99504634,3116,1048576
64,0.30937195,0.99425747,3244,1048576
65,0.32787323,0.99392620,3438,1048576
66,0.35333633,0.99380966,3705,1048576
67,0.31394958,0.99429939,3292,1048576
68,0.32024384,0.99421522,3358,1048576
69,0.31719208,0.99434231,3326,1048576
70,0.34122467,0.99419427,3578,1048576
71,0.32520294,0.99420600,3410,1048576
72,0.30879974,0.99421322,3238,1048576
73,0.32291412,0.99403475,3386,1048576
74,0.35047531,0.99377300,3675,1048576
75,0.32062531,0.99413409,3362,1048576
76,0.29249191,0.99476687,3067,1048576
77,0.29277802,0.99472429,3070,1048576
78,0.33941269,0.99430262,3559,1048576
79,0.30384064,0.99456513,3186,1048576
80,0.38576126,0.99220747,4045,1048576
81,0.40388107,0.99186657,4235,1048576
82,0.42104721,0.99186722,4415,1048576
83,0.39482117,0.99222441,4140,1048576
84,0.37956238,0.99235944,3980,1048576
85,0.40292740,0.99218150,4225,1048576
86,0.43239594,0.99189620,4534,1048576
87,0.40454865,0.99219376,4242,1048576
88,0.38366318,0.99187085,4023,1048576
89,0.38576126,0.99182797,4045,1048576
90,0.38700104,0.99203324,4058,1048576
91,0.37345886,0.99219525,3916,1048576
92,0.40044785,0.99190665,4199,1048576
93,0.41570663,0.99190864,4359,1048576
94,0.39577484,0.99220831,4150,1048576
95,0.45261383,0.98977326,4746,1048576
96,0.48065186,0.98915819,5040,1048576
97,0.49896240,0.98905259,5232,1048576
98,0.46386719,0.98942347,4864,1048576
99,0.47035217,0.98917731,4932,1048576
100,0.43163300,0.99011768,4526,1048576
101,0.50001144,0.98880753,5243,1048576
102,0.47473907,0.98908234,4978,1048576
103,0.37183762,0.99257004,3899,1048576
104,0.39186478,0.99210587,4109,1048576
105,0.41599274,0.99208868,4362,1048576
106,0.36277771,0.99270206,3804,1048576
107,0.39310455,0.99212147,4122,1048576
108,0.40616989,0.99198801,4259,1048576
109,0.42867661,0.99176606,4495,1048576
110,0.40779114,0.99221757,4276,1048576
111,0.30107498,0.99301911,3157,1048576
112,0.36010742,0.99214010,3776,1048576
113,0.34732819,0.99273028,3642,1048576
114,0.33359528,0.99245551,3498,1048576
115,0.29325485,0.99328057,3075,1048576
116,0.31280518,0.99287873,3280,1048576
117,0.34236908,0.99272307,3590,1048576
118,0.35209656,0.99246209,3692,1048576
119,0.30231476,0.99320352,3170,1048576
120,0.33035278,0.99243597,3464,1048576
121,0.36334991,0.99222876,3810,1048576
122,0.32520294,0.99272518,3410,1048576
123,0.34351349,0.99250490,3602,1048576
124,0.34122467,0.99244710,3578,1048576
125,0.37364960,0.99222391,3918,1048576
126,0.35877228,0.99223689,3762,1048576
127,0.34008026,0.99268459,3566,1048576
128,0.36354065,0.99235791,3812,1048576
129,0.39825439,0.99172519,4176,1048576
130,0.36554337,0.99206276,3833,1048576
131,0.35123825,0.99236441,3683,1048576
132,0.38280487,0.99179495,4014,1048576
133,0.40683746,0.99165557,4266,1048576
134,0.38633347,0.99188988,4051,1048576
135,0.38366318,0.99033717,4023,1048576
136,0.39453506,0.99014758,4137,1048576
137,0.43163300,0.98980762,4526,1048576
138,0.39882660,0.99013959,4182,1048576
139,0.38776398,0.98967332,4066,1048576
140,0.38337708,0.99061553,4020,1048576
141,0.42943954,0.98977324,4503,1048576
142,0.41532516,0.98981938,4355,1048576
143,0.33721924,0.99276862,3536,1048576
144,0.35610199,0.99227353,3734,1048576
145,0.39024353,0.99202090,4092,1048576
146,0.34027100,0.99254776,3568,1048576
147,0.38328171,0.99179860,4019,1048576
148,0.37183762,0.99194550,3899,1048576
149,0.40845871,0.99149209,4283,1048576
150,0.36115646,0.99194512,3787,1048576
151,0.38719177,0.99147164,4060,1048576
152,0.40798187,0.99159637,4278,1048576
153,0.37937164,0.99169182,3978,1048576
154,0.34713745,0.99201307,3640,1048576
155,0.37517548,0.99154470,3934,1048576
156,0.39615631,0.99162754,4154,1048576
157,0.40426254,0.99061943,4239,1048576
158,0.32148361,0.99368387,3371,1048576
159,0.34189224,0.99335486,3585,1048576
160,0.37021637,0.99328019,3882,1048576
161,0.33617020,0.99352549,3525,1048576
162,0.30956268,0.99395010,3246,1048576
163,0.33740997,0.99355255,3538,1048576
164,0.37641525,0.99313947,3947,1048576
165,0.34408569,0.99351254,3608,1048576
166,0.31909943,0.99360987,3346,1048576
167,0.34093857,0.99322672,3575,1048576
168,0.36954880,0.99307193,3875,1048576
169,0.33111572,0.99355760,3472,1048576
170,0.33559799,0.99327239,3519,1048576
171,0.35638809,0.99308385,3737,1048576
172,0.38118362,0.99311425,3997,1048576
173,0.34503937,0.99344150,3618,1048576
174,0.35905838,0.99105252,3765,1048576
175,0.37784576,0.99058320,3962,1048576
176,0.40817261,0.99028110,4280,1048576
177,0.36783218,0.99123310,3857,1048576
178,0.34580231,0.99128945,3626,1048576
179,0.35772324,0.99115670,3751,1048576
180,0.39348602,0.99062497,4126,1048576
181,0.38404465,0.99061032,4027,1048576
182,0.41399002,0.99051139,4341,1048576
183,0.43592453,0.99017024,4571,1048576
184,0.46567917,0.98993540,4883,1048576
185,0.41522980,0.99088494,4354,1048576
186,0.42295456,0.99041930,4435,1048576
187,0.42886734,0.99076400,4497,1048576
188,0.45919418,0.99050755,4815,1048576
189,0.42009354,0.99082077,4405,1048576
190,0.44536591,0.98966678,4670,1048576
191,0.46758652,0.98949315,4903,1048576
192,0.48961639,0.98940667,5134,1048576
193,0.44775009,0.99007711,4695,1048576
194,0.43725967,0.98994685,4585,1048576
195,0.46119690,0.98994688,4836,1048576
196,0.48589706,0.98969859,5095,1048576
197,0.45366287,0.99032073,4757,1048576
198,0.47626495,0.98946626,4994,1048576
199,0.49629211,0.98937948,5204,1048576
200,0.51774979,0.98940339,5429,1048576
201,0.48170090,0.99007784,5051,1048576
202,0.44212341,0.99095046,4636,1048576
203,0.45871735,0.99066192,4810,1048576
204,0.49619675,0.99036552,5203,1048576
205,0.48942566,0.99028836,5132,1048576
206,0.49390793,0.98739555,5179,1048576
207,0.51097870,0.98746361,5358,1048576
208,0.53415298,0.98752563,5601,1048576
209,0.48437119,0.98827420,5079,1048576
210,0.49209595,0.98878548,5160,1048576
211,0.53577423,0.98843703,5618,1048576
212,0.49133301,0.98883035,5152,1048576
213,0.34646988,0.99328307,3633,1048576
214,0.36430359,0.99286781,3820,1048576
215,0.39339066,0.99269348,4125,1048576
216,0.35705566,0.99311846,3744,1048576
217,0.33559799,0.99366241,3519,1048576
218,0.36573410,0.99296228,3835,1048576
219,0.39167404,0.99294869,4107,1048576
220,0.36678314,0.99318740,3846,1048576
221,0.44116974,0.99116558,4626,1048576
222,0.45709610,0.99068480,4793,1048576
223,0.48122406,0.99046421,5046,1048576
224,0.44708252,0.99095405,4688,1048576
225,0.41685104,0.99150399,4371,1048576
