frame,fvdb_per_percent,fvdb_ssim,fvdb_error_pixels,spconv_per_percent,spconv_ssim,spconv_error_pixels,per_delta_fvdb_minus_spconv,ssim_delta_fvdb_minus_spconv,combined_per_percent,max_per_percent
0,0.53024292,0.98898316,5560,0.26683807,0.99245755,2798,0.26340485,-0.00347439,0.39854050,0.53024292
1,0.55818558,0.98856902,5853,0.24738312,0.99342479,2594,0.31080246,-0.00485577,0.40278435,0.55818558
2,0.58641434,0.98821230,6149,0.22516251,0.99438536,2361,0.36125183,-0.00617306,0.40578842,0.58641434
3,0.60777664,0.98832355,6373,0.26636124,0.99439604,2793,0.34141541,-0.00607249,0.43706894,0.60777664
4,0.60977936,0.98799448,6394,0.22878647,0.99420976,2399,0.38099289,-0.00621528,0.41928291,0.60977936
5,0.67901611,0.98749306,7120,0.27742386,0.99415743,2909,0.40159225,-0.00666437,0.47821999,0.67901611
6,0.68874359,0.98730248,7222,0.23078918,0.99426865,2420,0.45795441,-0.00696617,0.45976639,0.68874359
7,0.47473907,0.99072649,4978,0.25749207,0.99448332,2700,0.21724701,-0.00375684,0.36611557,0.47473907
8,0.48093796,0.99034058,5043,0.25806427,0.99447207,2706,0.22287369,-0.00413149,0.36950111,0.48093796
9,0.51555634,0.98995773,5406,0.28848648,0.99414662,3025,0.22706985,-0.00418889,0.40202141,0.51555634
10,0.46224594,0.99092991,4847,0.25558472,0.99459445,2680,0.20666122,-0.00366454,0.35891533,0.46224594
11,0.52490234,0.98948181,5504,0.25262833,0.99461606,2649,0.27227402,-0.00513425,0.38876534,0.52490234
12,0.55179596,0.98934495,5786,0.29020309,0.99420615,3043,0.26159286,-0.00486120,0.42099953,0.55179596
13,0.44555664,0.99046164,4672,0.23002625,0.99517284,2412,0.21553040,-0.00471119,0.33779144,0.44555664
14,0.47664642,0.98996386,4998,0.24385452,0.99500031,2557,0.23279190,-0.00503645,0.36025047,0.47664642
15,0.49953461,0.98961642,5238,0.27065277,0.99481517,2838,0.22888184,-0.00519876,0.38509369,0.49953461
16,0.48265457,0.98952936,5061,0.23813248,0.99511424,2497,0.24452209,-0.00558488,0.36039352,0.48265457
17,0.46730042,0.98989047,4900,0.23317337,0.99506447,2445,0.23412704,-0.00517400,0.35023689,0.46730042
18,0.53586960,0.98925044,5619,0.29344559,0.99433770,3077,0.24242401,-0.00508726,0.41465759,0.53586960
19,0.37317276,0.99154648,3913,0.17766953,0.99569491,1863,0.19550323,-0.00414844,0.27542114,0.37317276
20,0.41179657,0.99063034,4318,0.19330978,0.99547576,2027,0.21848679,-0.00484542,0.30255318,0.41179657
21,0.39892197,0.99094998,4183,0.18320084,0.99580739,1921,0.21572113,-0.00485741,0.29106140,0.39892197
22,0.40960312,0.99075280,4295,0.19645691,0.99536697,2060,0.21314621,-0.00461417,0.30303001,0.40960312
23,0.39358139,0.99129284,4127,0.18186569,0.99559152,1907,0.21171570,-0.00429868,0.28772354,0.39358139
24,0.43573380,0.99057502,4569,0.23393631,0.99477930,2453,0.20179749,-0.00420428,0.33483505,0.43573380
25,0.50992966,0.98858855,5347,0.11758804,0.99792587,1233,0.39234161,-0.00933732,0.31375885,0.50992966
26,0.53110123,0.98850496,5569,0.11739731,0.99778925,1231,0.41370392,-0.00928429,0.32424927,0.53110123
27,0.55894852,0.98778278,5861,0.14772415,0.99745513,1549,0.41122437,-0.00967235,0.35333633,0.55894852
28,0.53462982,0.98756000,5606,0.12693405,0.99727545,1331,0.40769577,-0.00971546,0.33078194,0.53462982
29,0.51794052,0.98839444,5431,0.11777878,0.99761056,1235,0.40016174,-0.00921612,0.31785965,0.51794052
30,0.57220459,0.98746728,6000,0.16717911,0.99715218,1753,0.40502548,-0.00968489,0.36969185,0.57220459
31,0.52289963,0.98688661,5483,0.13847351,0.99630915,1452,0.38442612,-0.00942254,0.33068657,0.52289963
32,0.53987503,0.98802733,5661,0.17194748,0.99684919,1803,0.36792755,-0.00882186,0.35591125,0.53987503
33,0.55046082,0.98806353,5772,0.16460419,0.99696418,1726,0.38585663,-0.00890066,0.35753250,0.55046082
34,0.58088303,0.98737555,6091,0.19979477,0.99655963,2095,0.38108826,-0.00918408,0.39033890,0.58088303
35,0.53682327,0.98800084,5629,0.17461777,0.99673994,1831,0.36220551,-0.00873911,0.35572052,0.53682327
36,0.53424835,0.98839204,5602,0.16880035,0.99677281,1770,0.36544800,-0.00838077,0.35152435,0.53424835
37,0.53262711,0.98857657,5585,0.16803741,0.99670385,1762,0.36458969,-0.00812729,0.35033226,0.53262711
38,0.56552887,0.98790161,5930,0.20351410,0.99639315,2134,0.36201477,-0.00849153,0.38452148,0.56552887
39,0.55799484,0.98815033,5851,0.17261505,0.99647261,1810,0.38537979,-0.00832228,0.36530495,0.55799484
40,0.50258636,0.98811526,5270,0.15144348,0.99709408,1588,0.35114288,-0.00897882,0.32701492,0.50258636
41,0.50525665,0.98817410,5298,0.13494492,0.99746022,1415,0.37031174,-0.00928612,0.32010078,0.50525665
42,0.53205490,0.98796519,5579,0.16860962,0.99739255,1768,0.36344528,-0.00942736,0.35033226,0.53205490
43,0.50344467,0.98809667,5279,0.13923645,0.99751342,1460,0.36420822,-0.00941674,0.32134056,0.50344467
44,0.49047470,0.98833129,5143,0.13675690,0.99755335,1434,0.35371780,-0.00922206,0.31361580,0.49047470
45,0.49285889,0.98857255,5168,0.14772415,0.99731238,1549,0.34513474,-0.00873983,0.32029152,0.49285889
46,0.52309036,0.98866094,5485,0.19073486,0.99711486,2000,0.33235550,-0.00845391,0.35691261,0.52309036
47,0.45118332,0.98946553,4731,0.13895035,0.99751743,1457,0.31223297,-0.00805190,0.29506683,0.45118332
48,0.43182373,0.99025067,4528,0.11892319,0.99825864,1247,0.31290054,-0.00800797,0.27537346,0.43182373
49,0.43373108,0.99030640,4548,0.10414124,0.99850354,1092,0.32958984,-0.00819714,0.26893616,0.43373108
50,0.45566559,0.99058615,4778,0.13809204,0.99824445,1448,0.31757355,-0.00765830,0.29687881,0.45566559
51,0.41980743,0.99045819,4402,0.11253357,0.99826541,1180,0.30727386,-0.00780722,0.26617050,0.41980743
52,0.41608810,0.99074402,4363,0.10890961,0.99836282,1142,0.30717850,-0.00761879,0.26249886,0.41608810
53,0.41971207,0.99079188,4401,0.11920929,0.99814091,1250,0.30050278,-0.00734903,0.26946068,0.41971207
54,0.42829514,0.99121053,4491,0.14553070,0.99784979,1526,0.28276443,-0.00663926,0.28691292,0.42829514
55,0.42734146,0.99104899,4481,0.11196136,0.99819967,1174,0.31538010,-0.00715068,0.26965141,0.42734146
56,0.31070709,0.99440484,3258,0.12655258,0.99759614,1327,0.18415451,-0.00319130,0.21862984,0.31070709
57,0.31833649,0.99430467,3338,0.11186600,0.99804699,1173,0.20647049,-0.00374232,0.21510124,0.31833649
58,0.35657883,0.99403184,3739,0.16727448,0.99693995,1754,0.18930435,-0.00290811,0.26192665,0.35657883
59,0.31557083,0.99452307,3309,0.11558533,0.99784600,1212,0.19998550,-0.00332293,0.21557808,0.31557083
60,0.30612946,0.99479664,3210,0.12664795,0.99754210,1328,0.17948151,-0.00274546,0.21638870,0.30612946
61,0.29106140,0.99512119,3052,0.13284683,0.99738690,1393,0.15821457,-0.00226571,0.21195412,0.29106140
62,0.35743713,0.99454053,3748,0.17156601,0.99728257,1799,0.18587112,-0.00274204,0.26450157,0.35743713
63,0.29716492,0.99504634,3116,0.13618469,0.99724997,1428,0.16098022,-0.00220363,0.21667480,0.29716492
64,0.30937195,0.99425747,3244,0.10519028,0.99778300,1103,0.20418167,-0.00352554,0.20728111,0.30937195
65,0.32787323,0.99392620,3438,0.10499954,0.99772343,1101,0.22287369,-0.00379723,0.21643639,0.32787323
66,0.35333633,0.99380966,3705,0.14114380,0.99733872,1480,0.21219254,-0.00352905,0.24724007,0.35333633
67,0.31394958,0.99429939,3292,0.10585785,0.99786923,1110,0.20809174,-0.00356984,0.20990372,0.31394958
68,0.32024384,0.99421522,3358,0.11444092,0.99754138,1200,0.20580292,-0.00332615,0.21734238,0.32024384
69,0.31719208,0.99434231,3326,0.10948181,0.99763930,1148,0.20771027,-0.00329699,0.21333694,0.31719208
70,0.34122467,0.99419427,3578,0.14715195,0.99717109,1543,0.19407272,-0.00297682,0.24418831,0.34122467
