frame,fvdb_per_percent,fvdb_ssim,fvdb_error_pixels,spconv_per_percent,spconv_ssim,spconv_error_pixels,per_delta_fvdb_minus_spconv,ssim_delta_fvdb_minus_spconv,combined_per_percent,max_per_percent
0,1.06925964,0.99619253,11212,0.79154968,0.99710899,8300,0.27770996,-0.00091645,0.93040466,1.06925964
1,1.05972290,0.99616717,11112,0.77390671,0.99715779,8115,0.28581619,-0.00099062,0.91681480,1.05972290
2,1.07488632,0.99599652,11271,0.77848434,0.99716965,8163,0.29640198,-0.00117313,0.92668533,1.07488632
3,1.08671188,0.99586767,11395,0.78344345,0.99708371,8215,0.30326843,-0.00121604,0.93507767,1.08671188
4,1.08575821,0.99579825,11385,0.77190399,0.99717189,8094,0.31385422,-0.00137364,0.92883110,1.08575821
5,1.10273361,0.99560912,11563,0.77400208,0.99710445,8116,0.32873154,-0.00149533,0.93836784,1.10273361
6,1.11284256,0.99550904,11669,0.75473785,0.99718993,7914,0.35810471,-0.00168090,0.93379021,1.11284256
7,1.12066269,0.99531672,11751,0.75645447,0.99708366,7932,0.36420822,-0.00176694,0.93855858,1.12066269
8,1.13792419,0.99443751,11932,0.86269379,0.99627100,9046,0.27523041,-0.00183349,1.00030899,1.13792419
9,1.13067627,0.99447569,11856,0.85506439,0.99636045,8966,0.27561188,-0.00188476,0.99287033,1.13067627
10,1.13277435,0.99436359,11878,0.83312988,0.99641591,8736,0.29964447,-0.00205232,0.98295212,1.13277435
11,1.13096237,0.99426915,11859,0.82731247,0.99637911,8675,0.30364990,-0.00210996,0.97913742,1.13096237
12,1.12457275,0.99411860,11792,0.80442429,0.99643806,8435,0.32014847,-0.00231946,0.96449852,1.12457275
13,1.13210678,0.99391145,11871,0.78783035,0.99635742,8261,0.34427643,-0.00244597,0.95996857,1.13210678
14,1.14183426,0.99374533,11973,0.78506470,0.99637832,8232,0.35676956,-0.00263299,0.96344948,1.14183426
15,1.13887787,0.99358496,11942,0.76313019,0.99639455,8002,0.37574768,-0.00280960,0.95100403,1.13887787
