scene,radius,d,backend,pred_video,gt_video,metrics_json,ssim_all,psnr_avg,vmaf,flip_avg
bigcity,r30,8,fvdb,/var/tmp/atighedl_runs/videos/final_200ep/bigcity/r30/d8/fvdb/bigcity_r30_d8_fvdb_200ep_rendering.mkv,/var/tmp/atighedl_runs/canonical_data/FINAL_GVPVV/BIGCITY_FINAL/bigcity/r30/predicted_unity_pvv/00_color/_rendering.mkv,/var/tmp/atighedl_runs/ssim_videos/final_200ep/bigcity/r30/d8/fvdb/bigcity_r30_d8_fvdb_200ep_video_metrics.json,0.998074,42.041951,98.990335,0.0010659912073504548
bigcity,r30,8,spconv,/var/tmp/atighedl_runs/videos/final_200ep/bigcity/r30/d8/spconv/bigcity_r30_d8_spconv_200ep_rendering.mkv,/var/tmp/atighedl_runs/canonical_data/FINAL_GVPVV/BIGCITY_FINAL/bigcity/r30/predicted_unity_pvv/00_color/_rendering.mkv,/var/tmp/atighedl_runs/ssim_videos/final_200ep/bigcity/r30/d8/spconv/bigcity_r30_d8_spconv_200ep_video_metrics.json,0.998441,43.052234,99.226189,0.0008970947736986072
bigcity,r30,16,fvdb,/var/tmp/atighedl_runs/videos/final_200ep/bigcity/r30/d16/fvdb/bigcity_r30_d16_fvdb_200ep_rendering.mkv,/var/tmp/atighedl_runs/canonical_data/FINAL_GVPVV/BIGCITY_FINAL/bigcity/r30/predicted_unity_pvv/00_color/_rendering.mkv,/var/tmp/atighedl_runs/ssim_videos/final_200ep/bigcity/r30/d16/fvdb/bigcity_r30_d16_fvdb_200ep_video_metrics.json,0.998986,44.535572,99.27147,0.0005917738477871145
bigcity,r30,16,spconv,/var/tmp/atighedl_runs/videos/final_200ep/bigcity/r30/d16/spconv/bigcity_r30_d16_spconv_200ep_rendering.mkv,/var/tmp/atighedl_runs/canonical_data/FINAL_GVPVV/BIGCITY_FINAL/bigcity/r30/predicted_unity_pvv/00_color/_rendering.mkv,/var/tmp/atighedl_runs/ssim_videos/final_200ep/bigcity/r30/d16/spconv/bigcity_r30_d16_spconv_200ep_video_metrics.json,0.999353,47.148319,99.540303,0.000354099877605023
bigcity,r30,32,fvdb,/var/tmp/atighedl_runs/videos/final_200ep/bigcity/r30/d32/fvdb/bigcity_r30_d32_fvdb_200ep_rendering.mkv,/var/tmp/atighedl_runs/canonical_data/FINAL_GVPVV/BIGCITY_FINAL/bigcity/r30/predicted_unity_pvv/00_color/_rendering.mkv,/var/tmp/atighedl_runs/ssim_videos/final_200ep/bigcity/r30/d32/fvdb/bigcity_r30_d32_fvdb_200ep_video_metrics.json,0.991631,33.240465,95.948483,0.005577208824487422
bigcity,r30,32,spconv,/var/tmp/atighedl_runs/videos/final_200ep/bigcity/r30/d32/spconv/bigcity_r30_d32_spconv_200ep_rendering.mkv,/var/tmp/atighedl_runs/canonical_data/FINAL_GVPVV/BIGCITY_FINAL/bigcity/r30/predicted_unity_pvv/00_color/_rendering.mkv,/var/tmp/atighedl_runs/ssim_videos/final_200ep/bigcity/r30/d32/spconv/bigcity_r30_d32_spconv_200ep_video_metrics.json,0.9985,41.797367,98.73479,0.0009197545918541531
bigcity,r60,8,fvdb,/var/tmp/atighedl_runs/videos/final_200ep/bigcity/r60/d8/fvdb/bigcity_r60_d8_fvdb_200ep_rendering.mkv,/var/tmp/atighedl_runs/canonical_data/FINAL_GVPVV/BIGCITY_FINAL/bigcity/r60/predicted_unity_pvv/00_color/_rendering.mkv,/var/tmp/atighedl_runs/ssim_videos/final_200ep/bigcity/r60/d8/fvdb/bigcity_r60_d8_fvdb_200ep_video_metrics.json,0.997845,40.349965,98.810255,0.0012702374924491425
bigcity,r60,8,spconv,/var/tmp/atighedl_runs/videos/final_200ep/bigcity/r60/d8/spconv/bigcity_r60_d8_spconv_200ep_rendering.mkv,/var/tmp/atighedl_runs/canonical_data/FINAL_GVPVV/BIGCITY_FINAL/bigcity/r60/predicted_unity_pvv/00_color/_rendering.mkv,/var/tmp/atighedl_runs/ssim_videos/final_200ep/bigcity/r60/d8/spconv/bigcity_r60_d8_spconv_200ep_video_metrics.json,0.998133,41.943361,99.039461,0.0010731039240862274
bigcity,r60,16,fvdb,/var/tmp/atighedl_runs/videos/final_200ep/bigcity/r60/d16/fvdb/bigcity_r60_d16_fvdb_200ep_rendering.mkv,/var/tmp/atighedl_runs/canonical_data/FINAL_GVPVV/BIGCITY_FINAL/bigcity/r60/predicted_unity_pvv/00_color/_rendering.mkv,/var/tmp/atighedl_runs/ssim_videos/final_200ep/bigcity/r60/d16/fvdb/bigcity_r60_d16_fvdb_200ep_video_metrics.json,0.999374,48.929463,99.662817,0.0003510948868661501
bigcity,r60,16,spconv,/var/tmp/atighedl_runs/videos/final_200ep/bigcity/r60/d16/spconv/bigcity_r60_d16_spconv_200ep_rendering.mkv,/var/tmp/atighedl_runs/canonical_data/FINAL_GVPVV/BIGCITY_FINAL/bigcity/r60/predicted_unity_pvv/00_color/_rendering.mkv,/var/tmp/atighedl_runs/ssim_videos/final_200ep/bigcity/r60/d16/spconv/bigcity_r60_d16_spconv_200ep_video_metrics.json,0.999302,47.258004,99.517522,0.00041805683618648007
