scene,radius,d,backend,epochs,frames,dice_mean,loss_mean,fp_mean,fn_mean,fp_rate_mean,fn_rate_mean,fp_ratio_mean,gv_ratio_mean,infer_time_mean,infer_time_pure_mean,interleaver_time_mean,sparse_core_time_mean,deinterleaver_time_mean,peak_mem,density_mean,train_exp_dir,metrics_output_dir,timing_output_dir,predicted_pvv_folder,metrics_log,timing_log
bigcity,r30,8,fvdb,100,10,nan,nan,nan,nan,nan,nan,nan,nan,32.00040378527728,27.808161358633598,0.2175122986739987,27.808161358633598,3.8369448464506,369.30419921875,0.026570444254531075,"/var/tmp/atighedl_runs/NEURALPVS_MAY19_SYNTHETIC_100EP/fvdb_out/OACNNsInterleaved_synthetic_may19_r30_1000_t3000_dice,no_guess_20260521-015106_synthetic_may19_r30_fvdb_d8_b3_depth3_100ep_Gj9L3PP1",/var/tmp/atighedl_runs/final_all_inference/fvdb_out/OACNNsInterleaved_final_infer_bigcity_r30_dice_20260522-145830_synthetic_may19_r30_fvdb_d8_b3_depth3_100ep-final_bigcity_r30_fvdb_d8_100ep_metrics_C05IszK6,/var/tmp/atighedl_runs/final_all_inference/fvdb_out/OACNNsInterleaved_final_infer_bigcity_r30_dice_20260522-145852_synthetic_may19_r30_fvdb_d8_b3_depth3_100ep-final_bigcity_r30_fvdb_d8_100ep_timing_IQPD65Pm,/var/tmp/atighedl_runs/final_all_inference/fvdb_out/OACNNsInterleaved_final_infer_bigcity_r30_dice_20260522-145830_synthetic_may19_r30_fvdb_d8_b3_depth3_100ep-final_bigcity_r30_fvdb_d8_100ep_metrics_C05IszK6/inference/0,/var/tmp/atighedl_runs/final_all_inference/logs/infer_bigcity_r30_fvdb_d8_100ep_metrics.log,/var/tmp/atighedl_runs/final_all_inference/logs/infer_bigcity_r30_fvdb_d8_100ep_timing.log
industrial,r30,8,fvdb,100,10,nan,nan,nan,nan,nan,nan,nan,nan,30.41959829332138,27.906106028240174,0.21776788680227066,27.906106028240174,1.9806644238549498,306.576171875,0.01051964972793147,"/var/tmp/atighedl_runs/NEURALPVS_MAY19_SYNTHETIC_100EP/fvdb_out/OACNNsInterleaved_synthetic_may19_r30_1000_t3000_dice,no_guess_20260521-015106_synthetic_may19_r30_fvdb_d8_b3_depth3_100ep_Gj9L3PP1",/var/tmp/atighedl_runs/final_all_inference/fvdb_out/OACNNsInterleaved_final_infer_industrial_r30_dice_20260522-145929_synthetic_may19_r30_fvdb_d8_b3_depth3_100ep-final_industrial_r30_fvdb_d8_100ep_metrics_7opC9wD0,/var/tmp/atighedl_runs/final_all_inference/fvdb_out/OACNNsInterleaved_final_infer_industrial_r30_dice_20260522-150041_synthetic_may19_r30_fvdb_d8_b3_depth3_100ep-final_industrial_r30_fvdb_d8_100ep_timing_x3GOXbDN,/var/tmp/atighedl_runs/final_all_inference/fvdb_out/OACNNsInterleaved_final_infer_industrial_r30_dice_20260522-145929_synthetic_may19_r30_fvdb_d8_b3_depth3_100ep-final_industrial_r30_fvdb_d8_100ep_metrics_7opC9wD0/inference/0,/var/tmp/atighedl_runs/final_all_inference/logs/infer_industrial_r30_fvdb_d8_100ep_metrics.log,/var/tmp/atighedl_runs/final_all_inference/logs/infer_industrial_r30_fvdb_d8_100ep_timing.log
robotlab,r30,8,fvdb,100,10,nan,nan,nan,nan,nan,nan,nan,nan,31.212512956880126,27.833591484361225,0.21791290517127057,27.833591484361225,3.031978573734787,353.458984375,0.018247169579646384,"/var/tmp/atighedl_runs/NEURALPVS_MAY19_SYNTHETIC_100EP/fvdb_out/OACNNsInterleaved_synthetic_may19_r30_1000_t3000_dice,no_guess_20260521-015106_synthetic_may19_r30_fvdb_d8_b3_depth3_100ep_Gj9L3PP1",/var/tmp/atighedl_runs/final_all_inference/fvdb_out/OACNNsInterleaved_final_infer_robotlab_r30_dice_20260522-150158_synthetic_may19_r30_fvdb_d8_b3_depth3_100ep-final_robotlab_r30_fvdb_d8_100ep_metrics_MqrymIWz,/var/tmp/atighedl_runs/final_all_inference/fvdb_out/OACNNsInterleaved_final_infer_robotlab_r30_dice_20260522-150234_synthetic_may19_r30_fvdb_d8_b3_depth3_100ep-final_robotlab_r30_fvdb_d8_100ep_timing_qLeS14rZ,/var/tmp/atighedl_runs/final_all_inference/fvdb_out/OACNNsInterleaved_final_infer_robotlab_r30_dice_20260522-150158_synthetic_may19_r30_fvdb_d8_b3_depth3_100ep-final_robotlab_r30_fvdb_d8_100ep_metrics_MqrymIWz/inference/0,/var/tmp/atighedl_runs/final_all_inference/logs/infer_robotlab_r30_fvdb_d8_100ep_metrics.log,/var/tmp/atighedl_runs/final_all_inference/logs/infer_robotlab_r30_fvdb_d8_100ep_timing.log
sponza,r30,8,fvdb,100,10,nan,nan,nan,nan,nan,nan,nan,nan,35.70608897233739,28.577972468920052,0.21645989165699575,28.577972468920052,6.924273838665439,449.37890625,0.042099212624424294,"/var/tmp/atighedl_runs/NEURALPVS_MAY19_SYNTHETIC_100EP/fvdb_out/OACNNsInterleaved_synthetic_may19_r30_1000_t3000_dice,no_guess_20260521-015106_synthetic_may19_r30_fvdb_d8_b3_depth3_100ep_Gj9L3PP1",/var/tmp/atighedl_runs/final_all_inference/fvdb_out/OACNNsInterleaved_final_infer_sponza_r30_dice_20260522-150314_synthetic_may19_r30_fvdb_d8_b3_depth3_100ep-final_sponza_r30_fvdb_d8_100ep_metrics_wdIdYgL7,/var/tmp/atighedl_runs/final_all_inference/fvdb_out/OACNNsInterleaved_final_infer_sponza_r30_dice_20260522-150449_synthetic_may19_r30_fvdb_d8_b3_depth3_100ep-final_sponza_r30_fvdb_d8_100ep_timing_F9u9uLkS,/var/tmp/atighedl_runs/final_all_inference/fvdb_out/OACNNsInterleaved_final_infer_sponza_r30_dice_20260522-150314_synthetic_may19_r30_fvdb_d8_b3_depth3_100ep-final_sponza_r30_fvdb_d8_100ep_metrics_wdIdYgL7/inference/0,/var/tmp/atighedl_runs/final_all_inference/logs/infer_sponza_r30_fvdb_d8_100ep_metrics.log,/var/tmp/atighedl_runs/final_all_inference/logs/infer_sponza_r30_fvdb_d8_100ep_timing.log
viking,r30,8,fvdb,100,10,nan,nan,nan,nan,nan,nan,nan,nan,31.64887792339454,27.696531041504723,0.21686939545907083,27.696531041504723,3.6296836791418334,353.90673828125,0.02631514113223349,"/var/tmp/atighedl_runs/NEURALPVS_MAY19_SYNTHETIC_100EP/fvdb_out/OACNNsInterleaved_synthetic_may19_r30_1000_t3000_dice,no_guess_20260521-015106_synthetic_may19_r30_fvdb_d8_b3_depth3_100ep_Gj9L3PP1",/var/tmp/atighedl_runs/final_all_inference/fvdb_out/OACNNsInterleaved_final_infer_viking_r30_dice_20260522-150545_synthetic_may19_r30_fvdb_d8_b3_depth3_100ep-final_viking_r30_fvdb_d8_100ep_metrics_BG8xPZvr,/var/tmp/atighedl_runs/final_all_inference/fvdb_out/OACNNsInterleaved_final_infer_viking_r30_dice_20260522-150839_synthetic_may19_r30_fvdb_d8_b3_depth3_100ep-final_viking_r30_fvdb_d8_100ep_timing_9BCqUQfU,/var/tmp/atighedl_runs/final_all_inference/fvdb_out/OACNNsInterleaved_final_infer_viking_r30_dice_20260522-150545_synthetic_may19_r30_fvdb_d8_b3_depth3_100ep-final_viking_r30_fvdb_d8_100ep_metrics_BG8xPZvr/inference/0,/var/tmp/atighedl_runs/final_all_inference/logs/infer_viking_r30_fvdb_d8_100ep_metrics.log,/var/tmp/atighedl_runs/final_all_inference/logs/infer_viking_r30_fvdb_d8_100ep_timing.log
bigcity,r30,8,spconv,100,10,nan,nan,nan,nan,nan,nan,nan,nan,17.250000075276557,16.81684851133661,0.2164367399091134,nan,0.21671482403083547,316.63232421875,0.026570444254531075,"/var/tmp/atighedl_runs/NEURALPVS_MAY19_SYNTHETIC_100EP/spconv_out/OACNNsInterleaved_synthetic_may19_r30_1000_t3000_dice,no_guess_20260521-053357_synthetic_may19_r30_spconv_d8_b3_depth3_100ep_gptw6kVv",/var/tmp/atighedl_runs/final_all_inference/spconv_out/OACNNsInterleaved_final_infer_bigcity_r30_dice_20260522-151122_synthetic_may19_r30_spconv_d8_b3_depth3_100ep-final_bigcity_r30_spconv_d8_100ep_metrics_CRfpO07z,/var/tmp/atighedl_runs/final_all_inference/spconv_out/OACNNsInterleaved_final_infer_bigcity_r30_dice_20260522-151218_synthetic_may19_r30_spconv_d8_b3_depth3_100ep-final_bigcity_r30_spconv_d8_100ep_timing_zpMKm7vB,/var/tmp/atighedl_runs/final_all_inference/spconv_out/OACNNsInterleaved_final_infer_bigcity_r30_dice_20260522-151122_synthetic_may19_r30_spconv_d8_b3_depth3_100ep-final_bigcity_r30_spconv_d8_100ep_metrics_CRfpO07z/inference/0,/var/tmp/atighedl_runs/final_all_inference/logs/infer_bigcity_r30_spconv_d8_100ep_metrics.log,/var/tmp/atighedl_runs/final_all_inference/logs/infer_bigcity_r30_spconv_d8_100ep_timing.log
industrial,r30,8,spconv,100,10,nan,nan,nan,nan,nan,nan,nan,nan,16.866637607456283,16.43411143028742,0.21640988283130957,nan,0.21611629433755297,280.4580078125,0.01051964972793147,"/var/tmp/atighedl_runs/NEURALPVS_MAY19_SYNTHETIC_100EP/spconv_out/OACNNsInterleaved_synthetic_may19_r30_1000_t3000_dice,no_guess_20260521-053357_synthetic_may19_r30_spconv_d8_b3_depth3_100ep_gptw6kVv",/var/tmp/atighedl_runs/final_all_inference/spconv_out/OACNNsInterleaved_final_infer_industrial_r30_dice_20260522-151329_synthetic_may19_r30_spconv_d8_b3_depth3_100ep-final_industrial_r30_spconv_d8_100ep_metrics_QBz9yHNg,/var/tmp/atighedl_runs/final_all_inference/spconv_out/OACNNsInterleaved_final_infer_industrial_r30_dice_20260522-151508_synthetic_may19_r30_spconv_d8_b3_depth3_100ep-final_industrial_r30_spconv_d8_100ep_timing_HgxPjc9V,/var/tmp/atighedl_runs/final_all_inference/spconv_out/OACNNsInterleaved_final_infer_industrial_r30_dice_20260522-151329_synthetic_may19_r30_spconv_d8_b3_depth3_100ep-final_industrial_r30_spconv_d8_100ep_metrics_QBz9yHNg/inference/0,/var/tmp/atighedl_runs/final_all_inference/logs/infer_industrial_r30_spconv_d8_100ep_metrics.log,/var/tmp/atighedl_runs/final_all_inference/logs/infer_industrial_r30_spconv_d8_100ep_timing.log
robotlab,r30,8,spconv,100,10,nan,nan,nan,nan,nan,nan,nan,nan,17.111761204631357,16.678858898798136,0.2164041883709918,nan,0.21649811746222744,306.69580078125,0.018247169579646384,"/var/tmp/atighedl_runs/NEURALPVS_MAY19_SYNTHETIC_100EP/spconv_out/OACNNsInterleaved_synthetic_may19_r30_1000_t3000_dice,no_guess_20260521-053357_synthetic_may19_r30_spconv_d8_b3_depth3_100ep_gptw6kVv",/var/tmp/atighedl_runs/final_all_inference/spconv_out/OACNNsInterleaved_final_infer_robotlab_r30_dice_20260522-151657_synthetic_may19_r30_spconv_d8_b3_depth3_100ep-final_robotlab_r30_spconv_d8_100ep_metrics_gAdISkp9,/var/tmp/atighedl_runs/final_all_inference/spconv_out/OACNNsInterleaved_final_infer_robotlab_r30_dice_20260522-151808_synthetic_may19_r30_spconv_d8_b3_depth3_100ep-final_robotlab_r30_spconv_d8_100ep_timing_NUV0NTEB,/var/tmp/atighedl_runs/final_all_inference/spconv_out/OACNNsInterleaved_final_infer_robotlab_r30_dice_20260522-151657_synthetic_may19_r30_spconv_d8_b3_depth3_100ep-final_robotlab_r30_spconv_d8_100ep_metrics_gAdISkp9/inference/0,/var/tmp/atighedl_runs/final_all_inference/logs/infer_robotlab_r30_spconv_d8_100ep_metrics.log,/var/tmp/atighedl_runs/final_all_inference/logs/infer_robotlab_r30_spconv_d8_100ep_timing.log
sponza,r30,8,spconv,100,10,nan,nan,nan,nan,nan,nan,nan,nan,17.41463797588949,16.983257132907358,0.21623245636874344,nan,0.21514838661338823,366.48486328125,0.042099212624424294,"/var/tmp/atighedl_runs/NEURALPVS_MAY19_SYNTHETIC_100EP/spconv_out/OACNNsInterleaved_synthetic_may19_r30_1000_t3000_dice,no_guess_20260521-053357_synthetic_may19_r30_spconv_d8_b3_depth3_100ep_gptw6kVv",/var/tmp/atighedl_runs/final_all_inference/spconv_out/OACNNsInterleaved_final_infer_sponza_r30_dice_20260522-151921_synthetic_may19_r30_spconv_d8_b3_depth3_100ep-final_sponza_r30_spconv_d8_100ep_metrics_7PdYvxHz,/var/tmp/atighedl_runs/final_all_inference/spconv_out/OACNNsInterleaved_final_infer_sponza_r30_dice_20260522-152106_synthetic_may19_r30_spconv_d8_b3_depth3_100ep-final_sponza_r30_spconv_d8_100ep_timing_LoiI5NF7,/var/tmp/atighedl_runs/final_all_inference/spconv_out/OACNNsInterleaved_final_infer_sponza_r30_dice_20260522-151921_synthetic_may19_r30_spconv_d8_b3_depth3_100ep-final_sponza_r30_spconv_d8_100ep_metrics_7PdYvxHz/inference/0,/var/tmp/atighedl_runs/final_all_inference/logs/infer_sponza_r30_spconv_d8_100ep_metrics.log,/var/tmp/atighedl_runs/final_all_inference/logs/infer_sponza_r30_spconv_d8_100ep_timing.log
viking,r30,8,spconv,100,10,nan,nan,nan,nan,nan,nan,nan,nan,17.209878664614177,16.782502494238287,0.21600327286190196,nan,0.21137289751398686,307.2177734375,0.02631514113223349,"/var/tmp/atighedl_runs/NEURALPVS_MAY19_SYNTHETIC_100EP/spconv_out/OACNNsInterleaved_synthetic_may19_r30_1000_t3000_dice,no_guess_20260521-053357_synthetic_may19_r30_spconv_d8_b3_depth3_100ep_gptw6kVv",/var/tmp/atighedl_runs/final_all_inference/spconv_out/OACNNsInterleaved_final_infer_viking_r30_dice_20260522-152236_synthetic_may19_r30_spconv_d8_b3_depth3_100ep-final_viking_r30_spconv_d8_100ep_metrics_qRVB5p80,/var/tmp/atighedl_runs/final_all_inference/spconv_out/OACNNsInterleaved_final_infer_viking_r30_dice_20260522-152540_synthetic_may19_r30_spconv_d8_b3_depth3_100ep-final_viking_r30_spconv_d8_100ep_timing_ZvzQO0sp,/var/tmp/atighedl_runs/final_all_inference/spconv_out/OACNNsInterleaved_final_infer_viking_r30_dice_20260522-152236_synthetic_may19_r30_spconv_d8_b3_depth3_100ep-final_viking_r30_spconv_d8_100ep_metrics_qRVB5p80/inference/0,/var/tmp/atighedl_runs/final_all_inference/logs/infer_viking_r30_spconv_d8_100ep_metrics.log,/var/tmp/atighedl_runs/final_all_inference/logs/infer_viking_r30_spconv_d8_100ep_timing.log
