scene,radius,d,backend,frames,dice,fp_rate,fn_rate,fp_ratio,gv_ratio,infer_ms,pure_ms,peak_mb,predicted_pvv_folder
bigcity,r30,8,fvdb,97,0.990804,0.008405,0.014316,0.314520,0.487877,32.000,27.808,369.3,/var/tmp/atighedl_runs/final_all_inference/fvdb_out/OACNNsInterleaved_final_infer_bigcity_r30_dice_20260522-145830_synthetic_may19_r30_fvdb_d8_b3_depth3_100ep-final_bigcity_r30_fvdb_d8_100ep_metrics_C05IszK6/inference/0
bigcity,r30,8,spconv,97,0.992089,0.005842,0.013453,0.218484,0.392013,17.250,16.817,316.6,/var/tmp/atighedl_runs/final_all_inference/spconv_out/OACNNsInterleaved_final_infer_bigcity_r30_dice_20260522-151122_synthetic_may19_r30_spconv_d8_b3_depth3_100ep-final_bigcity_r30_spconv_d8_100ep_metrics_CRfpO07z/inference/0
bigcity,r30,16,fvdb,97,0.986399,0.010959,0.012809,0.410603,0.584237,34.630,27.521,467.3,/var/tmp/atighedl_runs/final_all_inference/fvdb_out/OACNNsInterleaved_final_infer_bigcity_r30_dice_20260522-152732_synthetic_may19_r30_fvdb_d16_b3_depth3_100ep-final_bigcity_r30_fvdb_d16_100ep_metrics_rfSY87ct/inference/0
bigcity,r30,16,spconv,97,0.986264,0.008234,0.015819,0.308103,0.481192,17.754,17.341,386.4,/var/tmp/atighedl_runs/final_all_inference/spconv_out/OACNNsInterleaved_final_infer_bigcity_r30_dice_20260522-154018_synthetic_may19_r30_spconv_d16_b3_depth3_100ep-final_bigcity_r30_spconv_d16_100ep_metrics_fKPMGSfI/inference/0
bigcity,r30,32,fvdb,97,0.975252,0.007884,0.032209,0.295372,0.465516,36.974,25.131,804.7,/var/tmp/atighedl_runs/final_all_inference/fvdb_out/OACNNsInterleaved_final_infer_bigcity_r30_dice_20260522-155647_synthetic_may19_r30_fvdb_d32_b3_depth3_100ep-final_bigcity_r30_fvdb_d32_100ep_metrics_pSw4ESSS/inference/0
bigcity,r30,32,spconv,97,0.972823,0.006697,0.040507,0.250755,0.419445,23.545,23.096,666.9,/var/tmp/atighedl_runs/final_all_inference/spconv_out/OACNNsInterleaved_final_infer_bigcity_r30_dice_20260522-161114_synthetic_may19_r30_spconv_d32_b3_depth3_100ep-final_bigcity_r30_spconv_d32_100ep_metrics_S6rxam33/inference/0
bigcity,r60,8,fvdb,55,0.977586,0.007140,0.044400,0.266492,0.467802,32.008,27.907,367.9,/var/tmp/atighedl_runs/final_all_inference/fvdb_out/OACNNsInterleaved_final_infer_bigcity_r60_dice_20260522-162926_synthetic_may19_r60_fvdb_d8_b3_depth3_100ep-final_bigcity_r60_fvdb_d8_100ep_metrics_oJvAAyDq/inference/0
bigcity,r60,8,spconv,55,0.982725,0.007195,0.033360,0.268488,0.472155,17.208,16.779,314.6,/var/tmp/atighedl_runs/final_all_inference/spconv_out/OACNNsInterleaved_final_infer_bigcity_r60_dice_20260522-163710_synthetic_may19_r60_spconv_d8_b3_depth3_100ep-final_bigcity_r60_spconv_d8_100ep_metrics_sFJiDVqy/inference/0
bigcity,r60,16,fvdb,55,0.971139,0.008061,0.053288,0.300811,0.500171,34.655,27.613,464.8,/var/tmp/atighedl_runs/final_all_inference/fvdb_out/OACNNsInterleaved_final_infer_bigcity_r60_dice_20260522-164857_synthetic_may19_r60_fvdb_d16_b3_depth3_100ep-final_bigcity_r60_fvdb_d16_100ep_metrics_zq6hawPv/inference/0
bigcity,r60,16,spconv,55,0.971240,0.007374,0.053701,0.275573,0.474859,17.700,17.283,384.8,/var/tmp/atighedl_runs/final_all_inference/spconv_out/OACNNsInterleaved_final_infer_bigcity_r60_dice_20260522-165658_synthetic_may19_r60_spconv_d16_b3_depth3_100ep-final_bigcity_r60_spconv_d16_100ep_metrics_a6EQnGMu/inference/0
bigcity,r60,32,fvdb,55,0.959644,0.006081,0.075304,0.226959,0.421620,38.005,25.354,811.6,/var/tmp/atighedl_runs/final_all_inference/fvdb_out/OACNNsInterleaved_final_infer_bigcity_r60_dice_20260522-170913_synthetic_may19_r60_fvdb_d32_b3_depth3_100ep-final_bigcity_r60_fvdb_d32_100ep_metrics_uu2ARGVr/inference/0
industrial,r30,8,fvdb,459,0.993820,0.004207,0.007966,0.398070,0.812666,30.420,27.906,306.6,/var/tmp/atighedl_runs/final_all_inference/fvdb_out/OACNNsInterleaved_final_infer_industrial_r30_dice_20260522-145929_synthetic_may19_r30_fvdb_d8_b3_depth3_100ep-final_industrial_r30_fvdb_d8_100ep_metrics_7opC9wD0/inference/0
industrial,r30,8,spconv,459,0.993924,0.003287,0.009567,0.311024,0.724924,16.867,16.434,280.5,/var/tmp/atighedl_runs/final_all_inference/spconv_out/OACNNsInterleaved_final_infer_industrial_r30_dice_20260522-151329_synthetic_may19_r30_spconv_d8_b3_depth3_100ep-final_industrial_r30_spconv_d8_100ep_metrics_QBz9yHNg/inference/0
industrial,r30,16,fvdb,459,0.988427,0.004449,0.011493,0.418591,0.831672,31.382,27.281,393.7,/var/tmp/atighedl_runs/final_all_inference/fvdb_out/OACNNsInterleaved_final_infer_industrial_r30_dice_20260522-152832_synthetic_may19_r30_fvdb_d16_b3_depth3_100ep-final_industrial_r30_fvdb_d16_100ep_metrics_DgthMiIt/inference/0
industrial,r30,16,spconv,459,0.988413,0.004456,0.009075,0.420634,0.834803,17.519,17.107,341.6,/var/tmp/atighedl_runs/final_all_inference/spconv_out/OACNNsInterleaved_final_infer_industrial_r30_dice_20260522-154218_synthetic_may19_r30_spconv_d16_b3_depth3_100ep-final_industrial_r30_spconv_d16_100ep_metrics_LBdLDbEj/inference/0
industrial,r30,32,fvdb,459,0.965976,0.003751,0.053503,0.354118,0.749257,33.625,24.952,709.6,/var/tmp/atighedl_runs/final_all_inference/fvdb_out/OACNNsInterleaved_final_infer_industrial_r30_dice_20260522-155751_synthetic_may19_r30_fvdb_d32_b3_depth3_100ep-final_industrial_r30_fvdb_d32_100ep_metrics_Asg5gFri/inference/0
