radius,d,backend,scenes,dice_mean,fp_rate_mean,fn_rate_mean,infer_time_mean,pure_time_mean
r30,8,fvdb,5,0.98368020,0.00985700,0.03100680,32.197,27.964
r30,8,spconv,5,0.98214833,0.00707762,0.03403047,17.171,16.739
r30,16,fvdb,5,0.98467997,0.01163311,0.01913405,34.976,27.591
r30,16,spconv,5,0.98370062,0.01022996,0.02114487,17.871,17.457
r30,32,fvdb,5,0.96201969,0.00960544,0.06208607,38.135,25.495
r30,32,spconv,5,0.96895964,0.00930668,0.04873942,23.394,22.944
r60,8,fvdb,5,0.96455302,0.00679795,0.06989020,32.117,28.029
r60,8,spconv,5,0.98093107,0.00764917,0.03733715,17.219,16.789
r60,16,fvdb,5,0.96771287,0.00841688,0.06072170,35.103,27.681
r60,16,spconv,5,0.96721362,0.00771652,0.06287568,17.808,17.391
r60,32,fvdb,5,0.94824771,0.00793591,0.09990344,38.307,25.504
