scene,radius,d,backend,epochs,frames,dice_mean,loss_mean,fp_mean,fn_mean,fp_rate_mean,fn_rate_mean,fp_ratio_mean,gv_ratio_mean,infer_time_mean,infer_time_pure_mean,interleaver_time_mean,sparse_core_time_mean,deinterleaver_time_mean,peak_mem,density_mean,train_exp_dir,metrics_output_dir,timing_output_dir,predicted_pvv_folder,metrics_log,timing_log
bigcity,r30,8,fvdb,100,97,0.9908040006136157,0.009195999386384265,140349.56701030929,1138.1855670103093,0.008404640322455071,0.0143158564982532,0.3145195347132142,0.4878770205163464,32.039005498425546,27.91302872614728,0.21589264878518105,27.91302872614728,3.8103700434669125,369.30419921875,0.026570444254531075,"/var/tmp/atighedl_runs/NEURALPVS_MAY19_SYNTHETIC_100EP/fvdb_out/OACNNsInterleaved_synthetic_may19_r30_1000_t3000_dice,no_guess_20260521-015106_synthetic_may19_r30_fvdb_d8_b3_depth3_100ep_Gj9L3PP1",/var/tmp/atighedl_runs/final_all_inference_complete_100ep/fvdb_out/OACNNsInterleaved_final_infer_bigcity_r30_dice_20260523-221824_synthetic_may19_r30_fvdb_d8_b3_depth3_100ep-final_bigcity_r30_fvdb_d8_100ep_metrics_Fd4ClCIU,/var/tmp/atighedl_runs/final_all_inference_complete_100ep/fvdb_out/OACNNsInterleaved_final_infer_bigcity_r30_dice_20260523-221849_synthetic_may19_r30_fvdb_d8_b3_depth3_100ep-final_bigcity_r30_fvdb_d8_100ep_timing_VjuNtyly,/var/tmp/atighedl_runs/final_all_inference_complete_100ep/fvdb_out/OACNNsInterleaved_final_infer_bigcity_r30_dice_20260523-221824_synthetic_may19_r30_fvdb_d8_b3_depth3_100ep-final_bigcity_r30_fvdb_d8_100ep_metrics_Fd4ClCIU/inference/0,/var/tmp/atighedl_runs/final_all_inference_complete_100ep/logs/infer_bigcity_r30_fvdb_d8_100ep_metrics.log,/var/tmp/atighedl_runs/final_all_inference_complete_100ep/logs/infer_bigcity_r30_fvdb_d8_100ep_timing.log
industrial,r30,8,fvdb,100,459,0.9938204261212568,0.0061795738787432395,70282.95860566449,580.4400871459695,0.00420740104183014,0.007966292478511373,0.39806963857222744,0.8126657755806036,30.342745492375936,28.00581471697953,0.21604348170997886,28.00581471697953,1.9723199274337202,306.576171875,0.01051964972793147,"/var/tmp/atighedl_runs/NEURALPVS_MAY19_SYNTHETIC_100EP/fvdb_out/OACNNsInterleaved_synthetic_may19_r30_1000_t3000_dice,no_guess_20260521-015106_synthetic_may19_r30_fvdb_d8_b3_depth3_100ep_Gj9L3PP1",/var/tmp/atighedl_runs/final_all_inference_complete_100ep/fvdb_out/OACNNsInterleaved_final_infer_industrial_r30_dice_20260523-221929_synthetic_may19_r30_fvdb_d8_b3_depth3_100ep-final_industrial_r30_fvdb_d8_100ep_metrics_qXyTJFrt,/var/tmp/atighedl_runs/final_all_inference_complete_100ep/fvdb_out/OACNNsInterleaved_final_infer_industrial_r30_dice_20260523-222040_synthetic_may19_r30_fvdb_d8_b3_depth3_100ep-final_industrial_r30_fvdb_d8_100ep_timing_fRuwvQmh,/var/tmp/atighedl_runs/final_all_inference_complete_100ep/fvdb_out/OACNNsInterleaved_final_infer_industrial_r30_dice_20260523-221929_synthetic_may19_r30_fvdb_d8_b3_depth3_100ep-final_industrial_r30_fvdb_d8_100ep_metrics_qXyTJFrt/inference/0,/var/tmp/atighedl_runs/final_all_inference_complete_100ep/logs/infer_industrial_r30_fvdb_d8_100ep_metrics.log,/var/tmp/atighedl_runs/final_all_inference_complete_100ep/logs/infer_industrial_r30_fvdb_d8_100ep_timing.log
robotlab,r30,8,fvdb,100,129,0.9813267232835755,0.018673276716424467,123508.80620155038,4490.426356589147,0.0074127394337813015,0.038956343911068336,0.40332649590433106,0.7664939701095108,31.28902784083039,27.955000872161843,0.2163685448661757,27.955000872161843,3.0257513337061703,353.458984375,0.018247169579646384,"/var/tmp/atighedl_runs/NEURALPVS_MAY19_SYNTHETIC_100EP/fvdb_out/OACNNsInterleaved_synthetic_may19_r30_1000_t3000_dice,no_guess_20260521-015106_synthetic_may19_r30_fvdb_d8_b3_depth3_100ep_Gj9L3PP1",/var/tmp/atighedl_runs/final_all_inference_complete_100ep/fvdb_out/OACNNsInterleaved_final_infer_robotlab_r30_dice_20260523-222158_synthetic_may19_r30_fvdb_d8_b3_depth3_100ep-final_robotlab_r30_fvdb_d8_100ep_metrics_64uExEB4,/var/tmp/atighedl_runs/final_all_inference_complete_100ep/fvdb_out/OACNNsInterleaved_final_infer_robotlab_r30_dice_20260523-222235_synthetic_may19_r30_fvdb_d8_b3_depth3_100ep-final_robotlab_r30_fvdb_d8_100ep_timing_L3u21dYi,/var/tmp/atighedl_runs/final_all_inference_complete_100ep/fvdb_out/OACNNsInterleaved_final_infer_robotlab_r30_dice_20260523-222158_synthetic_may19_r30_fvdb_d8_b3_depth3_100ep-final_robotlab_r30_fvdb_d8_100ep_metrics_64uExEB4/inference/0,/var/tmp/atighedl_runs/final_all_inference_complete_100ep/logs/infer_robotlab_r30_fvdb_d8_100ep_metrics.log,/var/tmp/atighedl_runs/final_all_inference_complete_100ep/logs/infer_robotlab_r30_fvdb_d8_100ep_timing.log
sponza,r30,8,fvdb,100,281,0.989783138142786,0.010216861857213955,317430.42348754447,1259.3914590747331,0.019026829632416687,0.013197735427577144,0.4528544956679022,0.5847651103637397,35.684890221929884,28.51089113722661,0.2158780352474423,28.51089113722661,6.9436282606808195,449.37890625,0.042099212624424294,"/var/tmp/atighedl_runs/NEURALPVS_MAY19_SYNTHETIC_100EP/fvdb_out/OACNNsInterleaved_synthetic_may19_r30_1000_t3000_dice,no_guess_20260521-015106_synthetic_may19_r30_fvdb_d8_b3_depth3_100ep_Gj9L3PP1",/var/tmp/atighedl_runs/final_all_inference_complete_100ep/fvdb_out/OACNNsInterleaved_final_infer_sponza_r30_dice_20260523-222318_synthetic_may19_r30_fvdb_d8_b3_depth3_100ep-final_sponza_r30_fvdb_d8_100ep_metrics_K5yoxUTt,/var/tmp/atighedl_runs/final_all_inference_complete_100ep/fvdb_out/OACNNsInterleaved_final_infer_sponza_r30_dice_20260523-222454_synthetic_may19_r30_fvdb_d8_b3_depth3_100ep-final_sponza_r30_fvdb_d8_100ep_timing_xfu7e2sx,/var/tmp/atighedl_runs/final_all_inference_complete_100ep/fvdb_out/OACNNsInterleaved_final_infer_sponza_r30_dice_20260523-222318_synthetic_may19_r30_fvdb_d8_b3_depth3_100ep-final_sponza_r30_fvdb_d8_100ep_metrics_K5yoxUTt/inference/0,/var/tmp/atighedl_runs/final_all_inference_complete_100ep/logs/infer_sponza_r30_fvdb_d8_100ep_metrics.log,/var/tmp/atighedl_runs/final_all_inference_complete_100ep/logs/infer_sponza_r30_fvdb_d8_100ep_timing.log
viking,r30,8,fvdb,100,818,0.9626666908596431,0.0373333091403569,170666.82029339854,8166.971882640587,0.010233408474297304,0.0805977628586818,0.38352431196601,0.5833727863132225,31.821596235054532,27.859670183776565,0.2162909312998333,27.859670183776565,3.650612030841111,353.90673828125,0.02631514113223349,"/var/tmp/atighedl_runs/NEURALPVS_MAY19_SYNTHETIC_100EP/fvdb_out/OACNNsInterleaved_synthetic_may19_r30_1000_t3000_dice,no_guess_20260521-015106_synthetic_may19_r30_fvdb_d8_b3_depth3_100ep_Gj9L3PP1",/var/tmp/atighedl_runs/final_all_inference_complete_100ep/fvdb_out/OACNNsInterleaved_final_infer_viking_r30_dice_20260523-222552_synthetic_may19_r30_fvdb_d8_b3_depth3_100ep-final_viking_r30_fvdb_d8_100ep_metrics_RjacSwyO,/var/tmp/atighedl_runs/final_all_inference_complete_100ep/fvdb_out/OACNNsInterleaved_final_infer_viking_r30_dice_20260523-222847_synthetic_may19_r30_fvdb_d8_b3_depth3_100ep-final_viking_r30_fvdb_d8_100ep_timing_1IHAVVcS,/var/tmp/atighedl_runs/final_all_inference_complete_100ep/fvdb_out/OACNNsInterleaved_final_infer_viking_r30_dice_20260523-222552_synthetic_may19_r30_fvdb_d8_b3_depth3_100ep-final_viking_r30_fvdb_d8_100ep_metrics_RjacSwyO/inference/0,/var/tmp/atighedl_runs/final_all_inference_complete_100ep/logs/infer_viking_r30_fvdb_d8_100ep_metrics.log,/var/tmp/atighedl_runs/final_all_inference_complete_100ep/logs/infer_viking_r30_fvdb_d8_100ep_timing.log
bigcity,r30,8,spconv,100,97,0.9920888850369405,0.007911114963059521,97549.70103092784,1061.8144329896907,0.005841647994886918,0.013452866324103512,0.21848339963819563,0.3920129774157534,17.264814631098172,16.835478097420175,0.21613381371813983,nan,0.21320271995985726,316.63232421875,0.026570444254531075,"/var/tmp/atighedl_runs/NEURALPVS_MAY19_SYNTHETIC_100EP/spconv_out/OACNNsInterleaved_synthetic_may19_r30_1000_t3000_dice,no_guess_20260521-053357_synthetic_may19_r30_spconv_d8_b3_depth3_100ep_gptw6kVv",/var/tmp/atighedl_runs/final_all_inference_complete_100ep/spconv_out/OACNNsInterleaved_final_infer_bigcity_r30_dice_20260523-223135_synthetic_may19_r30_spconv_d8_b3_depth3_100ep-final_bigcity_r30_spconv_d8_100ep_metrics_K8SdPOvI,/var/tmp/atighedl_runs/final_all_inference_complete_100ep/spconv_out/OACNNsInterleaved_final_infer_bigcity_r30_dice_20260523-223241_synthetic_may19_r30_spconv_d8_b3_depth3_100ep-final_bigcity_r30_spconv_d8_100ep_timing_PiKPb8l6,/var/tmp/atighedl_runs/final_all_inference_complete_100ep/spconv_out/OACNNsInterleaved_final_infer_bigcity_r30_dice_20260523-223135_synthetic_may19_r30_spconv_d8_b3_depth3_100ep-final_bigcity_r30_spconv_d8_100ep_metrics_K8SdPOvI/inference/0,/var/tmp/atighedl_runs/final_all_inference_complete_100ep/logs/infer_bigcity_r30_spconv_d8_100ep_metrics.log,/var/tmp/atighedl_runs/final_all_inference_complete_100ep/logs/infer_bigcity_r30_spconv_d8_100ep_timing.log
industrial,r30,8,spconv,100,459,0.9939241646941191,0.006075835305880827,54903.62309368192,693.2483660130719,0.0032867561956798075,0.009567074883160536,0.3110233237865444,0.7249236223744411,17.220824186792566,16.790993299709292,0.21624601983057803,nan,0.21358486725269663,280.4580078125,0.01051964972793147,"/var/tmp/atighedl_runs/NEURALPVS_MAY19_SYNTHETIC_100EP/spconv_out/OACNNsInterleaved_synthetic_may19_r30_1000_t3000_dice,no_guess_20260521-053357_synthetic_may19_r30_spconv_d8_b3_depth3_100ep_gptw6kVv",/var/tmp/atighedl_runs/final_all_inference_complete_100ep/spconv_out/OACNNsInterleaved_final_infer_industrial_r30_dice_20260523-223401_synthetic_may19_r30_spconv_d8_b3_depth3_100ep-final_industrial_r30_spconv_d8_100ep_metrics_vno2dYU0,/var/tmp/atighedl_runs/final_all_inference_complete_100ep/spconv_out/OACNNsInterleaved_final_infer_industrial_r30_dice_20260523-223552_synthetic_may19_r30_spconv_d8_b3_depth3_100ep-final_industrial_r30_spconv_d8_100ep_timing_05WbiokN,/var/tmp/atighedl_runs/final_all_inference_complete_100ep/spconv_out/OACNNsInterleaved_final_infer_industrial_r30_dice_20260523-223401_synthetic_may19_r30_spconv_d8_b3_depth3_100ep-final_industrial_r30_spconv_d8_100ep_metrics_vno2dYU0/inference/0,/var/tmp/atighedl_runs/final_all_inference_complete_100ep/logs/infer_industrial_r30_spconv_d8_100ep_metrics.log,/var/tmp/atighedl_runs/final_all_inference_complete_100ep/logs/infer_industrial_r30_spconv_d8_100ep_timing.log
robotlab,r30,8,spconv,100,129,0.9797129626421965,0.020287037357803416,107339.82945736434,4763.976744186047,0.006442304592319649,0.041312994883041916,0.3516558186952458,0.713963855606641,17.287341643381733,16.86473905175306,0.2094455625095482,nan,0.2131570291191262,306.69580078125,0.018247169579646384,"/var/tmp/atighedl_runs/NEURALPVS_MAY19_SYNTHETIC_100EP/spconv_out/OACNNsInterleaved_synthetic_may19_r30_1000_t3000_dice,no_guess_20260521-053357_synthetic_may19_r30_spconv_d8_b3_depth3_100ep_gptw6kVv",/var/tmp/atighedl_runs/final_all_inference_complete_100ep/spconv_out/OACNNsInterleaved_final_infer_robotlab_r30_dice_20260523-223752_synthetic_may19_r30_spconv_d8_b3_depth3_100ep-final_robotlab_r30_spconv_d8_100ep_metrics_3Lgob1a3,/var/tmp/atighedl_runs/final_all_inference_complete_100ep/spconv_out/OACNNsInterleaved_final_infer_robotlab_r30_dice_20260523-223915_synthetic_may19_r30_spconv_d8_b3_depth3_100ep-final_robotlab_r30_spconv_d8_100ep_timing_SL2quiSf,/var/tmp/atighedl_runs/final_all_inference_complete_100ep/spconv_out/OACNNsInterleaved_final_infer_robotlab_r30_dice_20260523-223752_synthetic_may19_r30_spconv_d8_b3_depth3_100ep-final_robotlab_r30_spconv_d8_100ep_metrics_3Lgob1a3/inference/0,/var/tmp/atighedl_runs/final_all_inference_complete_100ep/logs/infer_robotlab_r30_spconv_d8_100ep_metrics.log,/var/tmp/atighedl_runs/final_all_inference_complete_100ep/logs/infer_robotlab_r30_spconv_d8_100ep_timing.log
sponza,r30,8,spconv,100,281,0.9898643928490499,0.010135607150949993,209666.73665480426,1482.5266903914592,0.012567537707472137,0.015585113415375195,0.298379838095441,0.4299731490026589,17.65965526877627,17.238500123714292,0.20920169223488,nan,0.2119534528270985,366.48486328125,0.042099212624424294,"/var/tmp/atighedl_runs/NEURALPVS_MAY19_SYNTHETIC_100EP/spconv_out/OACNNsInterleaved_synthetic_may19_r30_1000_t3000_dice,no_guess_20260521-053357_synthetic_may19_r30_spconv_d8_b3_depth3_100ep_gptw6kVv",/var/tmp/atighedl_runs/final_all_inference_complete_100ep/spconv_out/OACNNsInterleaved_final_infer_sponza_r30_dice_20260523-224040_synthetic_may19_r30_spconv_d8_b3_depth3_100ep-final_sponza_r30_spconv_d8_100ep_metrics_FsaWIHuo,/var/tmp/atighedl_runs/final_all_inference_complete_100ep/spconv_out/OACNNsInterleaved_final_infer_sponza_r30_dice_20260523-224238_synthetic_may19_r30_spconv_d8_b3_depth3_100ep-final_sponza_r30_spconv_d8_100ep_timing_9RoPI1o8,/var/tmp/atighedl_runs/final_all_inference_complete_100ep/spconv_out/OACNNsInterleaved_final_infer_sponza_r30_dice_20260523-224040_synthetic_may19_r30_spconv_d8_b3_depth3_100ep-final_sponza_r30_spconv_d8_100ep_metrics_FsaWIHuo/inference/0,/var/tmp/atighedl_runs/final_all_inference_complete_100ep/logs/infer_sponza_r30_spconv_d8_100ep_metrics.log,/var/tmp/atighedl_runs/final_all_inference_complete_100ep/logs/infer_sponza_r30_spconv_d8_100ep_timing.log
viking,r30,8,spconv,100,818,0.9551512198226667,0.044848780177333195,120905.06601466992,9392.275061124694,0.00724983414974341,0.09023426248849091,0.27253912283622256,0.47015808930752623,17.196832048303456,16.774631306441083,0.2093908625441448,nan,0.21280987931822892,307.2177734375,0.02631514113223349,"/var/tmp/atighedl_runs/NEURALPVS_MAY19_SYNTHETIC_100EP/spconv_out/OACNNsInterleaved_synthetic_may19_r30_1000_t3000_dice,no_guess_20260521-053357_synthetic_may19_r30_spconv_d8_b3_depth3_100ep_gptw6kVv",/var/tmp/atighedl_runs/final_all_inference_complete_100ep/spconv_out/OACNNsInterleaved_final_infer_viking_r30_dice_20260523-224417_synthetic_may19_r30_spconv_d8_b3_depth3_100ep-final_viking_r30_spconv_d8_100ep_metrics_g1qyvwX9,/var/tmp/atighedl_runs/final_all_inference_complete_100ep/spconv_out/OACNNsInterleaved_final_infer_viking_r30_dice_20260523-224728_synthetic_may19_r30_spconv_d8_b3_depth3_100ep-final_viking_r30_spconv_d8_100ep_timing_BPeGyvcu,/var/tmp/atighedl_runs/final_all_inference_complete_100ep/spconv_out/OACNNsInterleaved_final_infer_viking_r30_dice_20260523-224417_synthetic_may19_r30_spconv_d8_b3_depth3_100ep-final_viking_r30_spconv_d8_100ep_metrics_g1qyvwX9/inference/0,/var/tmp/atighedl_runs/final_all_inference_complete_100ep/logs/infer_viking_r30_spconv_d8_100ep_metrics.log,/var/tmp/atighedl_runs/final_all_inference_complete_100ep/logs/infer_viking_r30_spconv_d8_100ep_timing.log
