scene,radius,d,backend,frames,dice,fp_rate,fn_rate,fp_ratio,gv_ratio,infer_ms,pure_ms,peak_mb,predicted_pvv_folder
bigcity,r30,8,fvdb,97,0.990804,0.008405,0.014316,0.314520,0.487877,32.039,27.913,369.3,/var/tmp/atighedl_runs/final_all_inference_complete_100ep/fvdb_out/OACNNsInterleaved_final_infer_bigcity_r30_dice_20260523-221824_synthetic_may19_r30_fvdb_d8_b3_depth3_100ep-final_bigcity_r30_fvdb_d8_100ep_metrics_Fd4ClCIU/inference/0
bigcity,r30,8,spconv,97,0.992089,0.005842,0.013453,0.218483,0.392013,17.265,16.835,316.6,/var/tmp/atighedl_runs/final_all_inference_complete_100ep/spconv_out/OACNNsInterleaved_final_infer_bigcity_r30_dice_20260523-223135_synthetic_may19_r30_spconv_d8_b3_depth3_100ep-final_bigcity_r30_spconv_d8_100ep_metrics_K8SdPOvI/inference/0
bigcity,r30,16,fvdb,97,0.986399,0.010959,0.012809,0.410603,0.584237,34.478,27.460,467.3,/var/tmp/atighedl_runs/final_all_inference_complete_100ep/fvdb_out/OACNNsInterleaved_final_infer_bigcity_r30_dice_20260523-224920_synthetic_may19_r30_fvdb_d16_b3_depth3_100ep-final_bigcity_r30_fvdb_d16_100ep_metrics_JBPqxAvH/inference/0
bigcity,r30,16,spconv,97,0.986264,0.008234,0.015819,0.308103,0.481192,17.730,17.315,386.4,/var/tmp/atighedl_runs/final_all_inference_complete_100ep/spconv_out/OACNNsInterleaved_final_infer_bigcity_r30_dice_20260523-230231_synthetic_may19_r30_spconv_d16_b3_depth3_100ep-final_bigcity_r30_spconv_d16_100ep_metrics_BsFkl5LJ/inference/0
bigcity,r30,32,fvdb,97,0.975252,0.007884,0.032209,0.295372,0.465516,37.223,25.431,804.7,/var/tmp/atighedl_runs/final_all_inference_complete_100ep/fvdb_out/OACNNsInterleaved_final_infer_bigcity_r30_dice_20260523-232041_synthetic_may19_r30_fvdb_d32_b3_depth3_100ep-final_bigcity_r30_fvdb_d32_100ep_metrics_rHZJzcG8/inference/0
bigcity,r30,32,spconv,97,0.972823,0.006697,0.040507,0.250755,0.419445,23.551,23.099,666.9,/var/tmp/atighedl_runs/final_all_inference_complete_100ep/spconv_out/OACNNsInterleaved_final_infer_bigcity_r30_dice_20260523-233528_synthetic_may19_r30_spconv_d32_b3_depth3_100ep-final_bigcity_r30_spconv_d32_100ep_metrics_Tl8IndQm/inference/0
bigcity,r60,8,fvdb,55,0.977586,0.007140,0.044400,0.266492,0.467802,32.241,28.233,367.9,/var/tmp/atighedl_runs/final_all_inference_complete_100ep/fvdb_out/OACNNsInterleaved_final_infer_bigcity_r60_dice_20260523-235601_synthetic_may19_r60_fvdb_d8_b3_depth3_100ep-final_bigcity_r60_fvdb_d8_100ep_metrics_rujokNiN/inference/0
bigcity,r60,8,spconv,55,0.982725,0.007195,0.033360,0.268488,0.472156,17.244,16.813,314.6,/var/tmp/atighedl_runs/final_all_inference_complete_100ep/spconv_out/OACNNsInterleaved_final_infer_bigcity_r60_dice_20260524-000420_synthetic_may19_r60_spconv_d8_b3_depth3_100ep-final_bigcity_r60_spconv_d8_100ep_metrics_cyvVF98T/inference/0
bigcity,r60,16,fvdb,55,0.971139,0.008061,0.053288,0.300811,0.500171,34.423,27.410,464.8,/var/tmp/atighedl_runs/final_all_inference_complete_100ep/fvdb_out/OACNNsInterleaved_final_infer_bigcity_r60_dice_20260524-001916_synthetic_may19_r60_fvdb_d16_b3_depth3_100ep-final_bigcity_r60_fvdb_d16_100ep_metrics_R2xxWc6M/inference/0
bigcity,r60,16,spconv,55,0.971240,0.007374,0.053701,0.275574,0.474860,17.673,17.258,384.8,/var/tmp/atighedl_runs/final_all_inference_complete_100ep/spconv_out/OACNNsInterleaved_final_infer_bigcity_r60_dice_20260524-002751_synthetic_may19_r60_spconv_d16_b3_depth3_100ep-final_bigcity_r60_spconv_d16_100ep_metrics_uogqhDuF/inference/0
